"id_cidade","nome_cidade","area_desmatada_cidade","area_desmatada_uc","area_desmatada_total","percentual_uc_exclusiva"
"1185","Cururupu","0.00","0.28","0.28","100.00"
"783","Manaus","68.64","97.69","166.33","58.73"
"1377","Cuiabá","1.09","1.10","2.19","50.23"
"834","Augusto Corrêa","1.33","0.75","2.08","36.06"
"952","Soure","1.95","1.08","3.03","35.64"
"795","Santa Isabel do Rio Negro","20.56","9.33","29.89","31.21"
"753","Barcelos","30.97","8.89","39.86","22.30"
"919","Porto de Moz","483.51","131.45","614.96","21.38"
"777","Japurá","66.40","16.49","82.89","19.89"
"1307","São Luís","29.28","5.76","35.04","16.44"
"905","Oeiras do Pará","126.70","22.37","149.07","15.01"
"696","Machadinho D'Oeste","1020.50","155.72","1176.22","13.24"
"889","Maracanã","13.94","2.00","15.94","12.55"
"1152","Bequimão","0.56","0.08","0.64","12.50"
"1082","Pium","0.93","0.13","1.06","12.26"
"762","Carauari","17.55","2.45","20.00","12.25"
"944","São Geraldo do Araguaia","31.51","4.28","35.79","11.96"
"701","Nova Mamoré","1768.79","233.70","2002.49","11.67"
"887","Magalhães Barata","6.21","0.81","7.02","11.54"
"779","Jutaí","67.08","6.74","73.82","9.13"
"786","Maués","467.46","42.84","510.30","8.40"
"890","Marapanim","15.70","1.25","16.95","7.37"
"838","Baião","159.01","12.47","171.48","7.27"
"689","Cujubim","1144.95","82.82","1227.77","6.75"
"1479","Vila Bela da Santíssima Trindade","248.73","17.02","265.75","6.40"
"920","Prainha","886.38","50.01","936.39","5.34"
"1015","Carrasco Bonito","0.42","0.02","0.44","4.55"
"939","São Caetano de Odivelas","9.87","0.39","10.26","3.80"
"822","Uiramutã","20.70","0.72","21.42","3.36"
"682","Candeias do Jamari","1289.61","44.28","1333.89","3.32"
"688","Costa Marques","530.10","17.61","547.71","3.22"
"897","Monte Alegre","361.30","10.96","372.26","2.94"
"957","Tracuateua","9.56","0.28","9.84","2.85"
"789","Novo Airão","19.53","0.52","20.05","2.59"
"912","Parauapebas","86.89","2.15","89.04","2.41"
"830","Altamira","6611.69","132.86","6744.55","1.97"
"846","Bragança","15.03","0.30","15.33","1.96"
"787","Nhamundá","76.16","0.99","77.15","1.28"
"794","Rio Preto da Eva","60.51","0.65","61.16","1.06"
"758","Boca do Acre","1523.86","15.93","1539.79","1.03"
"936","Santarém","380.64","3.78","384.42","0.98"
"945","São João da Ponta","12.53","0.12","12.65","0.95"
"759","Borba","197.70","1.78","199.48","0.89"
"731","Feijó","997.08","8.21","1005.29","0.82"
"708","Porto Velho","5219.39","40.76","5260.15","0.77"
"780","Lábrea","4035.38","30.66","4066.04","0.75"
"797","São Gabriel da Cachoeira","61.89","0.45","62.34","0.72"
"802","Tapauá","243.73","1.43","245.16","0.58"
"784","Manicoré","1373.92","7.98","1381.90","0.58"
"906","Oriximiná","276.04","1.55","277.59","0.56"
"733","Mâncio Lima","95.61","0.43","96.04","0.45"
"964","Viseu","121.34","0.54","121.88","0.44"
"1426","Novo Santo Antônio","79.11","0.34","79.45","0.43"
"1372","Colniza","2991.20","12.69","3003.89","0.42"
"976","Pedra Branca do Amapari","38.60","0.14","38.74","0.36"
"761","Canutama","897.32","3.04","900.36","0.34"
"813","Caracaraí","583.83","0.69","584.52","0.12"
"771","Humaitá","882.61","0.73","883.34","0.08"
"750","Apuí","3024.31","2.12","3026.43","0.07"
"980","Serra do Navio","3.45","0.00","3.45","0.00"
"1467","Sinop","249.37","0.00","249.37","0.00"
"841","Belém","6.29","0.00","6.29","0.00"
"1468","Sorriso","12.63","0.00","12.63","0.00"
"1429","Paranatinga","521.64","0.00","521.64","0.00"
"1416","Nova Maringá","727.21","0.00","727.21","0.00"
"1369","Cláudia","468.29","0.00","468.29","0.00"
"884","Juruti","159.70","0.00","159.70","0.00"
"810","Boa Vista","6.88","0.00","6.88","0.00"
"1422","Nova Ubiratã","752.14","0.00","752.14","0.00"
"1453","Santa Cruz do Xingu","148.15","0.00","148.15","0.00"
"1398","Juína","515.70","0.00","515.70","0.00"
"673","Alto Alegre dos Parecis","122.40","0.00","122.40","0.00"
"1472","Terra Nova do Norte","90.65","0.00","90.65","0.00"
"1414","Nova Lacerda","155.62","0.00","155.62","0.00"
"854","Cametá","29.10","0.00","29.10","0.00"
"1404","Marcelândia","1070.00","0.00","1070.00","0.00"
"927","Salinópolis","11.31","0.00","11.31","0.00"
"1371","Colíder","61.31","0.00","61.31","0.00"
"858","Castanhal","16.58","0.00","16.58","0.00"
"973","Macapá","44.19","0.00","44.19","0.00"
"1425","Novo Mundo","284.28","0.01","284.29","0.00"
"832","Ananindeua","0.15","0.00","0.15","0.00"
"1376","Cotriguaçu","658.24","0.00","658.24","0.00"
"951","Senador José Porfírio","1313.41","0.00","1313.41","0.00"
"1241","Mirinzal","0.23","0.00","0.23","0.00"
"938","Santo Antônio do Tauá","4.64","0.00","4.64","0.00"
"704","Ouro Preto do Oeste","114.72","0.00","114.72","0.00"
"1355","Barra do Garças","7.47","0.00","7.47","0.00"
"923","Redenção","21.22","0.00","21.22","0.00"
"742","Sena Madureira","902.77","0.00","902.77","0.00"
"826","Afuá","2.93","0.00","2.93","0.00"
"1359","Cáceres","73.88","0.00","73.88","0.00"
"855","Canaã dos Carajás","29.78","0.00","29.78","0.00"
"967","Amapá","8.24","0.00","8.24","0.00"
"1449","Rondonópolis","5.25","0.00","5.25","0.00"
"1048","Lagoa da Confusão","65.93","0.00","65.93","0.00"
"1352","Aripuanã","1385.03","0.00","1385.03","0.00"
