"estacao","cidade","estado","dia_maior_variacao","maior_variacao","temperatura_max","temperatura_min","media_variacao"
"Braganca","Bragança","PA","2020-03-17","50.0","44.4","-5.6","8.40"
"Bacabal","Bacabal","MA","2010-01-24","34.4","34.2","-0.2","10.37"
"Belem","Belém","PA","2005-12-21","34.3","34.3","0.0","8.98"
"Rondonopolis","Rondonópolis","MT","2008-09-23","32.6","42.0","9.4","13.33"
"Barcelos","Barcelos","AM","2012-07-02","31.4","31.2","-0.2","8.93"
"Salinopolis","Salinópolis","PA","2022-05-06","29.9","29.9","0.0","5.55"
"Nova Maringa","Nova Maringá","MT","2020-11-05","28.1","44.8","16.7","12.28"
"Parana","Paranã","TO","2008-08-12","27.3","40.4","13.1","13.36"
"Pontes E Lacerda","Pontes e Lacerda","MT","2012-08-30","26.7","40.3","13.6","12.09"
"Comodoro","Comodoro","MT","2010-08-19","26.5","35.2","8.7","11.94"
"Rosario Oeste","Rosário Oeste","MT","2022-08-12","26.5","35.1","8.6","13.54"
"S.J. Do Rio Claro","São José do Rio Claro","MT","2010-08-18","26.5","36.9","10.4","12.67"
"Pium","Pium","TO","2019-09-13","26.4","40.9","14.5","13.62"
"Rondon Do Para","Rondon do Pará","PA","2022-05-17","26.3","35.9","9.6","11.22"
"Lagoa Da Confusao","Lagoa da Confusão","TO","2024-09-05","26.2","39.7","13.5","12.72"
"Porto Estrela","Porto Estrela","MT","2013-08-30","26.1","38.3","12.2","12.31"
"Alto Parnaiba","Alto Parnaíba","MA","2024-09-04","25.9","39.3","13.4","13.44"
"Buriticupu","Buriticupu","MA","2017-07-13","25.8","44.1","18.3","10.56"
"Salto Do Ceu","Salto do Céu","MT","2013-08-30","25.5","36.7","11.2","12.32"
"Araguacu","Araguaçu","TO","2019-09-13","25.3","41.4","16.1","13.32"
"Epitaciolandia","Epitaciolândia","AC","2019-08-06","25.2","31.8","6.6","10.53"
"Estreito","Estreito","MA","2010-08-10","25.1","37.5","12.4","12.31"
"Vila Bela Da Santissima Trindade","Vila Bela da Santíssima Trindade","MT","2010-08-07","25.1","34.7","9.6","12.04"
"Gurupi","Gurupi","TO","2024-09-04","25.0","39.0","14.0","12.90"
"Almas","Almas","TO","2021-05-12","24.9","43.1","18.2","11.56"
"Caceres","Cáceres","MT","2013-08-30","24.9","37.3","12.4","11.16"
"Rio Sono","Rio Sono","TO","2024-09-05","24.9","38.5","13.6","13.10"
