"Categoria","Quantidade","Área Oficial (ha)","% da Área em Relação à Área Total de Ucs","% da Área Oficial em relação a área AM Legal"
"Proteção Integral"
"ESEC","15","7.204.872","10,726","1,439"
"PARNA","26","22.925.378","34,130","4,579"
"REBIO","10","4.069.884","6,059","0,813"
"RVS","1","15.300","0,023","0,003"
"Total Proteção Integral (Federais)","52","34.215.434","50,938","6.834"
"Uso Sustentável"
"APA","5","2.605.628","3,879","0,520"
"ARIE","3","20.864","0,031","0,004"
"FLONA","35","17.187.140","25,587","3,433"
"RDS","1","64.735","0,096","0,013"
"RESEX","53","13.077.187","19,469","2,612"
"Total Uso Sustentável (Federais)","97","32.955.554","49,062","6.582"
"Total Geral (Federais)","149","67.170.988","100,000","13,416"
