year;area km²;indi
2024;0,00;Merure
2024;0,00;Taihantesu
2024;0,00;Escondido
2024;0,00;Cajuhiri Atravessado
2024;0,00;Ponciano
2024;0,00;Padre
2024;0,00;Jabuti
2024;0,00;Pequizal do Naruvôtu
2024;0,00;São Domingos do Jacapari e Estação
2024;0,00;Areões
2024;0,00;Rio Pindaré
2024;0,00;São Pedro
2024;0,00;Uaçá
2024;0,00;Ipixuna
2024;0,00;Kanela Memortumré
2024;0,00;Patauá
2024;0,00;Batelão
2024;0,00;Funil
2024;0,00;Uati-Paraná
2024;0,00;Rio Manicoré
2024;0,00;Utaria Wyhyna/Iròdu Iràna
2024;0,00;Ouro
2024;0,00;Lago Aiapua
2024;0,00;Figueiras
2024;0,00;Porto Limoeiro
2024;0,00;Apipica
2024;0,00;Rio Téa
2024;0,00;Zoe
2024;0,00;Menkü
2024;0,00;Sororó
2024;0,00;Tanaru ( restrição de uso )
2024;0,00;Governador
2024;0,00;São Leopoldo
2024;0,00;Batovi
2024;0,00;Karajá Santana do Araguaia
2024;0,00;Tadarimana
2024;0,00;Uneiuxi
2024;0,00;Lago do Limão
2024;0,00;Maranduba
2024;0,00;Kwazá do Rio São Pedro
2024;0,00;Trombetas/Mapuera
2024;0,00;Tirecatinga
2024;0,00;Sagarana
2024;0,00;Ilha do Camaleão
2024;0,00;Natal/Felicidade
2024;0,00;Vui-Uata-In
2024;0,00;Barata Livramento
2024;0,00;Jacamim
2024;0,00;São Sebastião
2024;0,00;Parque do Tumucumaque
2024;0,00;Apinayé
2024;0,00;Vale do Javari
2024;0,00;Lago Capanã
2024;0,00;Jatuarana
2024;0,00;Cajueiro
2024;0,00;Las Casas
2024;0,00;Pequizal
2024;0,00;Kawahiva do Rio Pardo
2024;0,00;Maraã Urubaxi
2024;0,00;Paumari do Lago Manissuã
2024;0,00;Tembé
2024;0,00;Baía dos Guató
2024;0,00;Karajá de Aruanã III
2024;0,00;Praia do Índio
2024;0,00;Rio Formoso
2024;0,00;Praia do Mangue
2024;0,00;Anta
2024;0,00;Rodeador
2024;0,00;Rio Jumas
2024;0,00;Miguel/Josefa
2024;0,00;Waiãpi
2024;0,00;Tukuna Porto Espiritual
2024;0,00;Portal do Encantado
2024;0,00;Ubawawe
2024;0,00;Prosperidade
2024;0,00;Diahui
2024;0,00;Truaru
2024;0,00;Rio Omerê
2024;0,00;Arary
2024;0,00;Poyanawa
2024;0,00;Paumari do Cuniua
2024;0,00;Lagoa Comprida
2024;0,00;Galibi
2024;0,00;Utiariti
2024;0,00;Tabalascada
2024;0,00;Xerente
2024;0,00;Xambioá
2024;0,00;Kanela
2024;0,00;São Marcos - MT
2024;0,00;Uneiuxi
2024;0,00;Krahó-Kanela
2024;0,00;Kraolandia
2024;0,00;Manoa/Pium
2024;0,00;Lago Jauari
2024;0,00;Pimentel Barbosa
2024;0,00;Juininha
2024;0,00;São Domingos - MT
2024;0,00;Maracaxi
2024;0,00;Guató
2024;0,00;Rio Apaporis
2024;0,00;Trocará - Doação
2024;0,00;Xipaya
2024;0,00;Serra da Moça
2024;0,00;Torá
2024;0,00;Sucuba
2024;0,00;Inawebohona
2024;0,00;Nove de Janeiro
2024;0,00;Pirititi
2024;0,00;Lago do Marinheiro
2024;0,00;Marechal Rondon
2024;0,00;Tikúna de Feijoal
2024;0,00;Umutina
2024;0,00;Tereza Cristina
2024;0,00;Tubarão Latunde
2024;0,00;Rio Biá
2024;0,00;Estação Parecis
2024;0,00;Bom Jesus
2024;0,00;Paresi
2024;0,00;Perigara
2024;0,00;Chão Preto
2024;0,00;Lago do Beruri
2024;0,00;Boa Vista - AM
2024;0,00;Cacique Fontoura
2024;0,00;Mangueira
2024;0,00;Uty-Xunaty
2024;0,00;Sururuá
2024;0,00;Apurinã do Igarapé São João
2024;0,00;Bakairi
2024;0,00;Porquinhos dos Canela-Apãnjekra
2024;0,00;Tenharim do Igarapé Preto
2024;0,00;Riozinho
2024;0,00;Médio Rio Negro II
2024;0,00;Lagoa dos Brincos
2024;0,00;Morro Branco
2024;0,00;Karajá de Aruanã II
2024;0,00;Sangradouro/Volta Grande
2024;0,00;Urucu/Juruá
2024;0,00;Krenrehé
2024;0,00;Parana do Boa Boa
2024;0,00;Parana do Paricá
2024;0,00;Tukuna Umariaçu
2024;0,00;Médio Rio Negro I
2024;0,00;Ponta da Serra
2024;0,00;Nova Esperança do Rio Jandiatuba
2024;0,00;Parque do Araguaia
2024;0,00;Ariramba
2024;0,00;Tapirapé/Karajá
2024;0,00;Cuia
2024;0,00;Wawi
2024;0,00;Recreio/São Félix
2024;0,00;Massaco
2024;0,00;Maraitá
2024;0,00;Fortaleza do Patauá
2024;0,00;Barreirinha
2024;0,00;Anambé
2024;0,00;Porquinhos
2024;0,00;Rio Paru DEste
2024;0,00;Ponte de Pedra
2024;0,00;Jarudore
2024;0,00;Muriru
2024;0,00;Meria
2024;0,00;Parabubure
2024;0,00;Taego Ãwa
2024;0,00;Itaitinga
2024;0,00;Turé/Mariquita
2024;0,00;Wedezé
2024;0,00;Uirapuru
2024;0,00;Pium
2024;0,00;Santa Cruz da Nova Aliança
2024;0,00;Nhamundá/Mapuera
2024;0,00;Fortaleza do Castanho
2024;0,00;Juruna do Km 17
2024;0,00;Estivadinho
2024;0,00;Nova Jacundá
2024;0,00;Tikuna de Santo Antonio
2024;0,00;Jumina
2024;0,00;Tuwa Apekuokawera
2024;0,00;Paracuhuba
2024;0,00;Paumari do Rio Ituxi
