year;area km²;consunit
2024;0,00;Reserva de Desenvolvimento Sustentável  Itatupã-Baquiá
2024;0,00;APA das Cabeceiras do Rio Cuiabá
2024;0,00;Reserva Extrativista Marinha de Soure
2024;0,00;Parque Estadual de Águas Quentes
2024;0,00;Parque Natural Municipal Uirapuru
2024;0,00;Floresta Estadual de Rendimento Sustentado Gavião
2024;0,00;APA da Ilha do Combu
2024;0,00;Parque Natural Municipal Lagoa das Garças
2024;0,00;APA Serra do Lajeado
2024;0,00;Parque Estadual das Nascentes do Rio Taquari
2024;0,00;Floresta Estadual de Rendimento Sustentado Periquito
2024;0,00;Parque Estadual do Bacanga
2024;0,00;Reserva Extrativista Maracanã
2024;0,00;Reserva Biológica do Manicoré
2024;0,00;Parque Nacional do Monte Roraima
2024;0,00;Reserva de Desenvolvimento Sustentável Uacarí
2024;0,00;Parque Natural Muncipal Paulo Viriato Correa da Costa
2024;0,00;Reserva Extrativista Extremo Norte do Tocantins
2024;0,00;Parque Nacional dos Campos Ferruginosos
2024;0,00;APA Lago do Amapá
2024;0,00;Reserva Extrativista Municipal Beija Flor Brilho de Fogo
2024;0,00;APA Bacia do Rio de Janeiro
2024;0,00;Estação Ecológica de Maracá
2024;0,00;Reserva Biológica do Rio Trombetas
2024;0,00;APA Meandros do Araguaia
2024;0,00;Reserva Biológica do Lago Piratuba
2024;0,00;Reserva Extrativista Baixo Juruá
2024;0,00;Parque Natural Municipal de Redenção
2024;0,00;Area de Relevante Interesse Ecologico Museu Parque Seringal
2024;0,00;Reserva Biológica Morro dos Seis Lagos
2024;0,00;Reserva Biológica do Abufari
2024;0,00;APA Lago de São Salvador do Tocantins, Paranã E Palmeirópolis
2024;0,00;Parque Estadual Serra Ricardo Franco
2024;0,00;Área de Relevante Interesse Ecológica Javari Buriti
2024;0,00;Reserva Extrativista Marinha Arai-Peroba
2024;0,00;Reserva Extrativista Pedras Negras
2024;0,00;Reserva Extrativista Piquiá
2024;0,00;Floresta Estadual de Rendimento Sustentado Cedro
2024;0,00;APA da Fazendinha
2024;0,00;APA do Juá
2024;0,00;APA Lago de Peixe/Angical
2024;0,00;Reserva Extrativista Chocoaré-Mato Grosso
2024;0,00;Reserva Extrativista Lago do Cuniã
2024;0,00;APA da Serra do Saubal
2024;0,00;APA Parque Linear do Bindá
2024;0,00;Parque Estadual Serra do Aracá
2024;0,00;APA da Região Metrolpolitana de Belém
2024;0,00;Reserva de Desenvolvimento Sustentável Bararati
2024;0,00;APA Jalapão
2024;0,00;Parque Nacional do Pico da Neblina
2024;0,00;APA de São Geraldo do Araguaia
2024;0,00;Estação Ecológica da Serra das Araras
2024;0,00;Monumento Natural Morro de Santo Antônio
2024;0,00;Parque Nacional do Araguaia
2024;0,00;Estação Ecológica Serra dos Três Irmãos
2024;0,00;Reserva Extrativista Auatí-Paraná
2024;0,00;APA Foz do Rio Santa Tereza
2024;0,00;Parque Natural Municipal do Morro dos Ventos
2024;0,00;Monumento Natural Canyons E Corredeiras do Rio Sono
2024;0,00;Parque Estadual Sucunduri
2024;0,00;Parque Estadual Charapucu
2024;0,00;Parque Estadual Dom Osório Stoffel
