ID_UC;Código UC;Informações Gerais;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de Criação;Ano do ato legal mais recente;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Órgão Gestor;Fonte da Área: (1 = SHP, 0 = Ato legal);Área soma biomas;Área soma Biomas Continental;Área Ato Legal de Criação;Bioma Área (ha);Amazônia;Caatinga;Cerrado;Mata Atlântica;Pampa;Pantanal;Área Marinha;Bioma declarado;% Além da linha de costa;Grupo;PI;US;Recortes (ha);Mar Territorial;Município Costeiro;Município Costeiro + Área Marinha;Programa/Projeto;Sítios do Patrimônio Mundial;Sítios Ramsar;Mosaico;WDPAID
1078;0000.00.1078;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA RIO DAS FURNAS;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2002;2002;Portaria 61 de 18/04/2002;Sem informação.;ALFREDO WAGNER (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;10,00260157;10,00260157;10;;0;0;0;10,00260157;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555600158
1085;0000.00.1085;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PRIMA LUNA;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2001;2001;Portaria 100 de 03/09/2001;Sem informação.;NOVA TRENTO (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;100;100;100;;0;0;0;100;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555600042
1091;0000.00.1091;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CHÁCARA EDITH;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2001;2001;Portaria 158 de 24/10/2001;Sem informação.;BRUSQUE (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;415,5902435;415,5902435;415,79;;0;0;0;415,5902435;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555600175
1093;0000.00.1093;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BARRA DO RIO DO MEIO;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;1999;1999;Portaria 23 de 23/02/1999;Sem informação.;SANTA ROSA DE LIMA (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;10;10;10;;0;0;0;10;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682492
1101;0000.00.1101;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PASSARIM;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2004;2004;Portaria 21/2004-N de 05/03/2004;Sem informação.;PAULO LOPES (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;228;228;226,47;;0;0;0;228;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;555600146
1123;0000.00.1123;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOSQUE DE CANELA;Federal;Reserva Particular do Patrimônio Natural;Category IV;RS;1998;1998;Portaria 118/98-N de 21/08/1998;Sem informação.;CANELA (RS);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;6;6;6;;0;0;0;6;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555600187
1137;0000.00.1137;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA ESTRELA;Federal;Reserva Particular do Patrimônio Natural;Category IV;RN;2000;2000;Portaria 20 de 30/03/2000;Sem informação.;BAÍA FORMOSA (RN);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;2.039;2.039;2039,93;;0;0;0;2.039;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;555600093
1284;0000.00.1284;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA DO BUGIO;Federal;Reserva Particular do Patrimônio Natural;Category IV;MG;2004;2004;Portaria 22/94-N de 05/03/2004;Sem informação.;RIO NOVO (MG);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;36,70552084;36,70552084;35,22;;0;0;0;36,70552084;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555600092
1308;0000.00.1308;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO PIRILAMPO;Federal;Reserva Particular do Patrimônio Natural;Category IV;MG;2000;2000;Portaria 40/2000 de 18/07/2000;Sem informação.;IJACI (MG);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;2;2;2;;0;0;0;2;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682715
1403;0000.00.1403;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO CAPITÃO;Federal;Reserva Particular do Patrimônio Natural;Category IV;BA;2004;2004;Portaria 24/04-N de 08/03/2004;Sem informação.;ITACARÉ (BA);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;385;385;385,49;;0;0;0;385;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;555600249
1433;0000.00.1433;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MÃE DA MATA;Federal;Reserva Particular do Patrimônio Natural;Category IV;BA;2004;2004;Portaria 32 de 09/03/2004;Sem informação.;ILHÉUS (BA);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;13;13;13;;0;0;0;13;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;555599984
2069;0000.00.2069;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ALIMERCINO GOMES CARVALHO;Federal;Reserva Particular do Patrimônio Natural;Category IV;ES;2009;2009;Portaria 57/2009 de 22/07/2009;Sem informação.;GUAÇUÍ (ES);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;6,009073196;6,009073196;6,01;;0;0;0;6,009073196;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555600186
2070;0000.00.2070;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOA UNIÃO;Federal;Reserva Particular do Patrimônio Natural;Category IV;BA;2007;2007;Portaria 29/2007 de 11/04/2007;Sem informação.;ILHÉUS (BA);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;113;113;112,81;;0;0;0;113;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;555600290
2071;0000.00.2071;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOM SOSSEGO II;Federal;Reserva Particular do Patrimônio Natural;Category IV;BA;2008;2008;Portaria 26 de 06/05/2008;Sem informação.;PORTO SEGURO (BA);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;54;54;53,66;;0;0;0;54;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;555599961
